;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;228189;23.07.1999;SOFTBANK CAPITAL LP;WEBVAN GROUP INC.;US;5411 / 7371;Minority stake 6.4%
2.;202233;06.03.2000;SOFTBANK CAPITAL LP;DOVEBID INC.;US;4899 / 7322 / 7323 / 7334 / 7338 / 7389;Minority stake unknown %
3.;1941081576;19.11.2014;SOFTBANK CAPITAL LP;BIGCOMMERCE INC.;US;7372 / 7374;Minority stake unknown %
4.;1909114741;17.06.2014;SOFTBANK CAPITAL LP;KONY SOLUTIONS INC.;US;7371 / 7372 / 7374;Minority stake unknown %
5.;1909099562;05.05.2014;SOFTBANK CAPITAL LP;KABBAGE INC.;US;7374;Minority stake unknown %
6.;1907073875;19.11.2014;SOFTBANK CAPITAL LP;BIGCOMMERCE PTY LTD;AU;7372 / 7374;Minority stake unknown %
7.;1601135077;16.11.2009;SOFTBANK CAPITAL LP;ROCKYOU INC.;US;7374;Minority stake unknown %
8.;1909561452;30.10.2008;SOFTBANK CAPITAL LP;ECHO360 INC.;US;7374;Minority stake unknown %
9.;230049;18.06.2001;SOFTBANK CAPITAL LP;VIACORE INC.;US;7371 / 7372;Minority stake unknown %
10.;1909010528;13.08.2013;SOFTBANK CAPITAL LP;FITBIT INC.;US;3829 / 7371 / 7372;Minority stake unknown %
11.;1601477421;22.05.2013;SOFTBANK CAPITAL LP;INTERACTIONS CORPORATION;US;7371;Minority stake unknown %
12.;1601405997;25.09.2012;SOFTBANK CAPITAL LP;CRITEO SA;FR;7371;Minority stake unknown %
13.;266084;23.07.2004;SOFTBANK CAPITAL LP;DANGER INC.;US;4899 / 7371;Minority stake unknown %
14.;1909235472;19.05.2015;SOFTBANK CAPITAL LP;SWITCH COMMUNICATIONS INC.;US;7372 / 7374;Minority stake unknown %
15.;148353;03.02.2003;SOFTBANK CAPITAL LP;DANGER INC.;US;4899 / 7371;Minority stake unknown %
16.;1941034474;06.02.2018;SOFTBANK CAPITAL LP;ACV AUCTIONS INC.;US;7374;Minority stake unknown %
17.;1941106741;14.06.2018;SOFTBANK CAPITAL LP;SCRYER INC.;US;7374;Minority stake unknown %
18.;1909229848;05.05.2015;SOFTBANK CAPITAL LP;NATUREBOX INC.;US;5999;Minority stake unknown %
19.;1601240867;17.01.2011;SOFTBANK CAPITAL LP;CHEEZBURGER INC.;US;7372 / 7374;Minority stake unknown %
20.;575533;12.09.2007;SOFTBANK CAPITAL LP;SERMO INC.;US;7374;Minority stake unknown %
21.;1601033614;12.01.2009;SOFTBANK CAPITAL LP;GOODMAIL SYSTEMS INC.;US;7371 / 7372;Minority stake unknown %
22.;1601302323;21.09.2011;SOFTBANK CAPITAL LP;TECHSTARS CENTRAL LLC;US;6799 / 8742;Minority stake unknown %
23.;1909409426;01.03.2016;SOFTBANK CAPITAL LP;SERVICE MARKETPLACE INC.;US;7374;Minority stake unknown %
24.;1601222951;19.10.2010;SOFTBANK CAPITAL LP;BUDDY MEDIA INC.;US;7371 / 7372 / 7374;Minority stake unknown %
25.;1909423266;31.03.2016;SOFTBANK CAPITAL LP;SCRYER INC.;US;7374;Minority stake unknown %
26.;266421;26.07.2004;SOFTBANK CAPITAL LP;DOVEBID INC.;US;4899 / 7322 / 7323 / 7334 / 7338 / 7389;Minority stake unknown %
27.;1601167725;11.03.2010;SOFTBANK CAPITAL LP;BETAWORKS STUDIO LLC;US;6799;Minority stake unknown %
28.;1909190564;21.01.2015;SOFTBANK CAPITAL LP;WORK MARKET INC.;US;7372 / 7374;Minority stake unknown %
29.;1909118893;26.06.2014;SOFTBANK CAPITAL LP;IGNITIONONE INC.;US;7372 / 7374;Minority stake unknown %
30.;1601434341;03.01.2013;SOFTBANK CAPITAL LP;BUZZFEED INC.;US;8999;Minority stake unknown %
